,BUSI_PROFITS,NET_INCM,TTL_LIAB,CREDIT_RNK,INTEREST
449,9056299964,7602878294,45315070849,3,1.58
450,6658982626,4219625659,154109833863,4,2.89
451,1153582528,954284397,7675004773,7,1.9
452,1528253090,-1348472484,10154805310,3,1.57
453,-358470275,344909336,8763648717,3,1.52
454,261435139,-18028411850,16025063765,5,2.35
455,2718326206,-339184140,37379791709,5,1.95
456,-5205812896,-7695046761,57354226838,4,2.27
457,-5566317429,-8340257012,97383641732,5,2.86
458,6423381560,5567466046,6596970582,4,1.48
459,3754871530,-1349853925,43450529991,8,2.33
460,2970975960,3182514464,36169226385,6,1.94
461,-2608607054,-3020578248,3186656292,5,1.77
462,-3945578493,-14760196295,1238223083,3,1.89
463,-7463098398,-10204382542,49507630828,4,2.29
464,-6886606137,-11723355041,10208427751,5,2.07
465,-264105997,-519073698,13304246849,6,1.87
466,1103766961,1104133245,25549814816,6,1.92
467,198537264,-9503187287,64870385464,4,2.42
468,2518158785,3032259811,7281846169,4,1.55
469,5492771257,7820589517,101773490082,2,1.94
470,-3421085478,-3131078901,23466860214,5,1.92
471,11066901019,9172784062,61321742290,3,1.66
472,2567820061,6065025685,10398033473,6,1.7
473,4249036482,3537225058,130137166002,4,2.61
474,-4380835445,-20533165821,25625610096,3,2.35
475,4885173786,-12590257600,36005641039,5,2.34
476,-1409594552,-10729311318,2436421227,5,1.98
477,6021456281,5713846859,11219151177,5,1.61
478,7649436796,6080749692,59427556876,5,1.93
479,106501886,-14909220887,1424119613,5,2.1
480,1948615582,2706200532,16178329260,3,1.51
481,-3197648729,-13392493335,30801262489,6,2.42
482,-4736234593,-6830030072,1310701132,3,1.66
483,4711591429,6370110326,68135704958,5,1.99
484,-1957584427,-2483306303,17902020175,2,1.56
485,-3330908433,-3997957837,27068868756,7,2.17
486,-5826274210,-7474916411,17614813408,5,2.0
487,-4134188659,-5376927921,5645455366,7,2.05
488,923263845,2078602811,11497812160,5,1.7
489,4767942248,6176485503,83543095835,4,2.03
490,-5387971850,-1801062041,22090631848,3,1.67
491,3231064116,3130542714,25395612939,6,1.86
492,14519753293,11806613743,8099030083,2,1.16
493,-1171012713,-23422144587,57289544007,6,3.18
494,8664875243,9761730276,26087193924,5,1.61
495,1860291454,-295167753,35061956580,4,1.83
496,-2459881702,-3165129863,19353468719,6,1.99
497,-349328932,-10173342314,33426979593,3,2.03
498,-4609889436,-12043782022,128254632230,4,3.41
499,-6663422252,-11856695344,49201956869,2,2.15
500,7457417654,3745670055,33525566406,5,1.8
501,194988855,1659060544,77344685220,3,2.03
502,7625055617,967482795,61797276634,5,2.11
503,15280577130,22915860607,9877944588,4,1.18
504,16221968503,7626530389,37618148427,5,1.73
505,12099535020,9204465820,72918195986,4,1.84
506,25202714510,18484690573,156314091664,5,2.38
507,-2498326696,-2719287498,39739720530,6,2.14
508,5506386936,3332660745,45373187071,4,1.8
509,2108650209,1709547486,6288943784,4,1.57
510,435054308,1002079396,9546671777,3,1.51
511,11770052487,8233383562,112935250476,6,2.43
512,3963640767,3736350358,7335806491,3,1.43
513,6274492952,1971120721,127377087050,7,2.95
514,18998003498,14673644371,114654834539,6,2.22
515,-673213985,3888406620,24241109732,4,1.64
516,7973584310,5856316677,29108011151,5,1.72
517,17416886434,14408301974,27416589769,3,1.31
518,1364698212,-311034626,13957295075,3,1.57
519,-1571836917,-2765813584,33833312146,4,1.89
520,1960492171,1237494844,25117809537,5,1.81
521,-3635504335,185322118,26741344784,9,2.25
522,10005278585,12259195176,18355066914,6,1.61
523,19715674508,17743632251,141640316834,3,2.06
524,-4033707055,-10142026654,24701820344,4,2.05
525,-15478897179,-11304154368,38636785669,3,2.12
526,17346922909,14769548132,24660396804,6,1.59
527,5186245785,4622717852,44144939313,4,1.76
528,4118737497,1011336093,48354409129,5,1.99
529,9782759992,7415624660,64736093246,3,1.73
530,1126593425,1041914587,11564486863,5,1.72
531,1761899302,1650477639,17619192373,5,1.75
532,11654312400,9626477212,77630550974,3,1.77
533,-4153562398,-7274469168,12267449726,4,1.85
534,-817270090,193460945,43633875566,3,1.78
535,1925440247,2122799265,13990184535,4,1.61
536,3054677722,5810742088,67264750853,6,2.1
537,-415485047,-3631734743,69879806396,4,2.25
538,10915357644,3517421233,21928433410,6,1.83
539,9069958516,6141883615,52563724367,4,1.78
540,14783104207,11635679678,35624947644,5,1.62
541,5293762079,5819396786,38452521547,7,1.98
542,-2103443718,-16736543887,5746550934,6,2.3
543,-4614725017,-5637766017,17999985543,5,1.95
544,7693127924,3152599049,53357830200,3,1.77
545,-3263089733,-6047578694,21906376405,6,2.09
546,2814645613,1886131707,30409539341,6,1.93
547,-1487938342,-17355631998,49644014125,5,2.69
548,-3093807142,-14369329623,13336092833,6,2.29
549,2402547251,-15786151692,72903095149,2,2.6
550,-9282751747,-14753232767,36775514042,6,2.53
551,15147034565,10446693485,149061073229,4,2.53
552,1307041275,-2572776487,35670214852,2,1.7
553,12943024946,9429843958,32515599532,5,1.65
554,13630365520,9710840855,122702306021,5,2.37
555,-856264513,-962453971,20394381235,4,1.74
556,13998447457,12091051563,105764342007,5,2.13
557,-3625523317,-1917861409,5779552952,5,1.76
558,2246724642,2187500529,4889457631,6,1.75
559,69794295,538373949,12516172723,4,1.64
560,658472165,-2690881166,21058754017,4,1.79
561,1872445509,1848309532,2292169537,5,1.64
562,-11518473364,-15090735979,20725857152,4,2.18
563,5036704483,4551888609,4645534709,3,1.4
564,128751609,135430916,10839688435,7,1.94
565,-14591277944,-14668170993,8184115682,6,2.25
566,3070674240,2289020582,21328610539,2,1.46
567,5688213258,41421789,9383235344,6,1.83
568,3998552236,-1036417615,9205588335,3,1.56
569,-1846272324,-2381760121,15428499687,6,1.94
570,-1614428938,-4173008991,24856980794,2,1.66
571,3030763154,4754335920,34872743968,5,1.79
572,-6913524045,-6975809339,4350105982,3,1.68
573,-29513500,37472624,892488050,4,1.58
574,16174739239,13902400559,56574850331,7,1.9
575,-2052683789,-9665824041,6976034166,4,1.88
576,6898664292,5433975526,11297997036,6,1.72
577,5727939448,5343600958,4341468723,5,1.58
578,3501423743,1132106111,2013497420,6,1.76
579,10396276228,8044043788,40487842296,6,1.84
580,-7504066508,-9927703687,35916279757,5,2.24
581,-17487550,-7757700,696723282,4,1.58
582,5017834188,4665593545,15148269526,6,1.76
583,1571673992,-12330050360,8901891489,6,2.18
584,-2374712017,-11286320640,720628073,5,1.98
585,-696411663,-604456121,7195037395,3,1.53
586,4324201606,3238093983,2625830899,6,1.71
587,-2609863887,-2599166886,711505254,2,1.44
588,-22317652,-9883547,716746508,5,1.68
